,date,site_nox
0,2020-01-01,12.216667
1,2020-01-02,44.765217
2,2020-01-03,47.533333
3,2020-01-04,56.441667
4,2020-01-05,12.904167
5,2020-01-06,30.5625
6,2020-01-07,43.1875
7,2020-01-08,22.895833
8,2020-01-09,39.633333
9,2020-01-10,37.32
10,2020-01-11,18.320833
11,2020-01-12,10.033333
12,2020-01-13,47.175
13,2020-01-14,58.979167
14,2020-01-15,53.970833
15,2020-01-16,19.579167
16,2020-01-17,27.233333
17,2020-01-18,30.65
18,2020-01-19,15.916667
19,2020-01-20,25.195833
20,2020-01-21,53.583333
21,2020-01-22,102.816667
22,2020-01-23,94.925
23,2020-01-24,137.431818
24,2020-01-25,19.795833
25,2020-01-26,17.754167
26,2020-01-27,25.708333
27,2020-01-28,27.604167
28,2020-01-29,32.3625
29,2020-01-30,55.9
30,2020-01-31,60.475
31,2020-02-01,51.138889
32,2020-02-02,20.7125
33,2020-02-03,40.879167
34,2020-02-04,104.029167
35,2020-02-05,42.370833
36,2020-02-06,52.570833
37,2020-02-07,40.385714
38,2020-02-08,19.95
39,2020-02-09,21.1625
40,2020-02-10,21.429167
41,2020-02-11,70.0875
42,2020-02-12,21.991667
43,2020-02-13,57.13913
44,2020-02-14,27.0875
45,2020-02-15,23.727778
46,2020-02-16,44.158333
47,2020-02-17,63.025
48,2020-02-18,45.447826
49,2020-02-19,30.2
50,2020-02-20,29.447826
51,2020-02-21,30.283333
52,2020-02-22,24.7625
53,2020-02-23,37.366667
54,2020-02-24,43.325
55,2020-02-25,42.88
56,2020-02-26,50.091667
57,2020-02-27,16.1625
58,2020-02-28,14.358333
59,2020-02-29,14.470833
60,2020-03-01,20.666667
61,2020-03-02,24.079167
62,2020-03-03,26.036364
63,2020-03-04,14.266667
64,2020-03-05,22.7375
65,2020-03-06,49.325
66,2020-03-07,17.9375
67,2020-03-08,19.208333
68,2020-03-09,29.783333
69,2020-03-10,18.491667
70,2020-03-11,39.805556
71,2020-03-12,76.4875
72,2020-03-13,14.041667
73,2020-03-14,13.290909
74,2020-03-15,15.045833
75,2020-03-16,24.0625
76,2020-03-17,23.616667
77,2020-03-18,27.95
78,2020-03-19,32.875
79,2020-03-20,19.491667
80,2020-03-21,11.883333
81,2020-03-22,7.741667
82,2020-03-23,26.6875
83,2020-03-24,25.6875
84,2020-03-25,28.666667
85,2020-03-26,26.063158
86,2020-03-27,25.120833
87,2020-03-28,21.020833
88,2020-03-29,10.145833
89,2020-03-30,27.095833
90,2020-03-31,18.570833
91,2020-04-01,19.4625
92,2020-04-02,14.608333
93,2020-04-03,13.933333
94,2020-04-04,9.345833
95,2020-04-05,18.066667
96,2020-04-06,22.020833
97,2020-04-07,15.529167
98,2020-04-08,18.188235
99,2020-04-09,10.329167
100,2020-04-10,9.047826
101,2020-04-11,10.3625
102,2020-04-12,31.895833
103,2020-04-13,5.129167
104,2020-04-14,12.404167
105,2020-04-15,15.276471
106,2020-04-16,11.385714
107,2020-04-17,15.016667
108,2020-04-18,17.5125
109,2020-04-19,14.45
110,2020-04-20,21.229167
111,2020-04-21,13.417647
112,2020-04-22,12.816667
113,2020-04-23,26.704167
114,2020-04-24,27.4
115,2020-04-25,48.270833
116,2020-04-26,9.320833
117,2020-04-27,17.245833
118,2020-04-28,25.311111
119,2020-04-29,28.370833
120,2020-04-30,8.4
121,2020-05-01,13.404167
122,2020-05-02,10.1625
123,2020-05-03,6.8625
124,2020-05-04,15.405556
125,2020-05-05,19.025
126,2020-05-06,29.183333
127,2020-05-07,21.225
128,2020-05-08,24.620833
129,2020-05-09,8.041667
130,2020-05-10,5.8125
131,2020-05-11,15.7375
132,2020-05-12,14.379167
133,2020-05-13,26.518182
134,2020-05-14,50.483333
135,2020-05-15,21.241667
136,2020-05-16,10.329167
137,2020-05-17,4.2375
138,2020-05-18,21.6125
139,2020-05-19,17.694737
140,2020-05-20,20.691667
141,2020-05-21,24.55
142,2020-05-22,27.554167
143,2020-05-23,13.133333
144,2020-05-24,7.591667
145,2020-05-25,11.65
146,2020-05-26,17.716667
147,2020-05-27,10.325
148,2020-05-28,9.595238
149,2020-05-29,9.083333
150,2020-05-30,11.533333
151,2020-05-31,7.3
152,2020-06-01,22.029167
153,2020-06-02,20.308333
154,2020-06-03,15.8875
155,2020-06-04,23.0625
156,2020-06-05,13.933333
157,2020-06-06,14.166667
158,2020-06-07,12.045833
159,2020-06-08,25.0625
160,2020-06-09,25.72
161,2020-06-10,18.216667
162,2020-06-11,10.05
163,2020-06-12,28.15
164,2020-06-13,10.820833
165,2020-06-14,6.766667
166,2020-06-15,22.479167
167,2020-06-16,30.966667
168,2020-06-17,21.0875
169,2020-06-18,18.258333
170,2020-06-19,12.241667
171,2020-06-20,14.2
172,2020-06-21,9.0375
173,2020-06-22,13.1
174,2020-06-23,9.445
175,2020-06-24,12.030769
176,2020-06-25,17.046154
177,2020-06-26,19.279167
178,2020-06-27,20.704167
179,2020-06-28,14.870833
180,2020-06-29,26.604167
181,2020-06-30,23.386364
182,2020-07-01,19.020833
183,2020-07-02,32.070833
184,2020-07-03,21.604167
185,2020-07-04,7.8
186,2020-07-05,8.541667
187,2020-07-06,24.033333
188,2020-07-07,13.220833
189,2020-07-08,6.635
190,2020-07-09,9.045833
191,2020-07-10,18.033333
192,2020-07-11,6.279167
193,2020-07-12,5.2625
194,2020-07-13,15.933333
195,2020-07-14,25.086364
196,2020-07-15,18.279167
197,2020-07-16,6.558333
198,2020-07-17,8.633333
199,2020-07-18,16.483333
200,2020-07-19,8.1125
201,2020-07-20,16.3375
202,2020-07-21,23.675
203,2020-07-22,14.365
204,2020-07-23,11.2375
205,2020-07-24,29.716667
206,2020-07-25,16.191667
207,2020-07-26,7.641667
208,2020-07-27,12.791667
209,2020-07-28,18.025
210,2020-07-29,21.879167
211,2020-07-30,22.863636
212,2020-07-31,19.983333
213,2020-08-01,17.554167
214,2020-08-02,4.058333
215,2020-08-03,10.316667
216,2020-08-04,13.395833
217,2020-08-05,12.125
218,2020-08-06,39.558333
219,2020-08-07,35.695
220,2020-08-08,16.825
221,2020-08-09,9.025
222,2020-08-10,13.479167
223,2020-08-11,8.970833
224,2020-08-12,20.420833
225,2020-08-13,33.928571
226,2020-08-14,30.829167
227,2020-08-15,16.616667
228,2020-08-16,9.145833
229,2020-08-17,20.670833
230,2020-08-18,22.347059
231,2020-08-19,40.366667
232,2020-08-20,28.379167
233,2020-08-21,9.529167
234,2020-08-22,9.1875
235,2020-08-23,10.883333
236,2020-08-24,17.071429
237,2020-08-25,25.183333
238,2020-08-26,28.670833
239,2020-08-27,34.9875
240,2020-08-28,24.191667
241,2020-08-29,20.266667
242,2020-08-30,17.333333
243,2020-08-31,35.495833
244,2020-09-01,22.088235
245,2020-09-02,15.958333
246,2020-09-03,22.691667
247,2020-09-04,25.05
248,2020-09-05,12.804167
249,2020-09-06,9.145833
250,2020-09-07,10.666667
251,2020-09-08,24.891667
252,2020-09-09,34.395238
253,2020-09-10,20.004167
254,2020-09-11,28.9375
255,2020-09-12,16.304167
256,2020-09-13,7.329167
257,2020-09-14,19.75
258,2020-09-15,24.233333
259,2020-09-16,27.633333
260,2020-09-17,17.133333
261,2020-09-18,23.1375
262,2020-09-19,15.204167
263,2020-09-20,13.7375
264,2020-09-21,44.2625
265,2020-09-22,35.995833
266,2020-09-23,29.261905
267,2020-09-24,55.454167
268,2020-09-25,30.070833
269,2020-09-26,15.429167
270,2020-09-27,7.925
271,2020-09-28,6.283333
272,2020-09-29,8.070833
273,2020-09-30,8.541667
274,2020-10-01,14.625
275,2020-10-02,28.288235
276,2020-10-03,24.475
277,2020-10-04,21.516667
278,2020-10-05,31.270833
279,2020-10-06,30.1625
280,2020-10-07,10.6875
281,2020-10-08,19.480952
282,2020-10-09,38.95
283,2020-10-10,5.770833
284,2020-10-11,11.891667
285,2020-10-12,17.754167
286,2020-10-13,24.552174
287,2020-10-14,25.608333
288,2020-10-15,15.504167
289,2020-10-16,25.852941
290,2020-10-17,38.275
291,2020-10-18,55.416667
292,2020-10-19,42.008333
293,2020-10-20,19.525
294,2020-10-21,15.445833
295,2020-10-22,36.941667
296,2020-10-23,12.21
297,2020-10-24,11.425
298,2020-10-25,13.354167
299,2020-10-26,37.308333
300,2020-10-27,40.645833
301,2020-10-28,37.19375
302,2020-10-29,32.7125
303,2020-10-30,28.65
304,2020-10-31,27.2
305,2020-11-01,10.358333
306,2020-11-02,14.904167
307,2020-11-03,22.879167
308,2020-11-04,37.358333
309,2020-11-05,19.85
310,2020-11-06,42.680952
311,2020-11-07,44.383333
312,2020-11-08,64.983333
313,2020-11-09,110.5125
314,2020-11-10,27.216667
315,2020-11-11,17.691667
316,2020-11-12,25.1625
317,2020-11-13,42.452941
318,2020-11-14,24.8
319,2020-11-15,25.079167
320,2020-11-16,21.033333
321,2020-11-17,25.895833
322,2020-11-18,25.558333
323,2020-11-19,25.904167
324,2020-11-20,19.666667
325,2020-11-21,34.029167
326,2020-11-22,12.770833
327,2020-11-23,19.666667
328,2020-11-24,45.305882
329,2020-11-25,30.4375
330,2020-11-26,13.466667
331,2020-11-27,38.7
332,2020-11-28,25.6625
333,2020-11-29,29.770833
334,2020-11-30,28.558333
335,2020-12-01,10.95
336,2020-12-02,14.920833
337,2020-12-03,29.3
338,2020-12-04,26.704167
339,2020-12-05,24.078261
340,2020-12-06,11.4125
341,2020-12-07,38.541667
342,2020-12-08,28.529167
343,2020-12-09,32.266667
344,2020-12-10,45.333333
345,2020-12-11,80.8875
346,2020-12-12,68.175
347,2020-12-13,24.379167
348,2020-12-14,41.3375
349,2020-12-15,29.95
350,2020-12-16,30.325
351,2020-12-17,19.783333
352,2020-12-18,46.3
353,2020-12-19,66.895833
354,2020-12-20,67.691667
355,2020-12-21,93.208333
356,2020-12-22,37.908333
357,2020-12-23,33.91875
358,2020-12-24,5.47
359,2020-12-25,4.495833
360,2020-12-26,12.591667
361,2020-12-27,38.5125
362,2020-12-28,24.233333
363,2020-12-29,27.99375
364,2020-12-30,32.016667
365,2020-12-31,26.220833
366,2021-01-01,
367,2021-01-02,
368,2021-01-03,
369,2021-01-04,
370,2021-01-05,
371,2021-01-06,
372,2021-01-07,
373,2021-01-08,
374,2021-01-09,
375,2021-01-10,
376,2021-01-11,
377,2021-01-12,
378,2021-01-13,
379,2021-01-14,
380,2021-01-15,
381,2021-01-16,
382,2021-01-17,
383,2021-01-18,
384,2021-01-19,
385,2021-01-20,
386,2021-01-21,
387,2021-01-22,
388,2021-01-23,
389,2021-01-24,
390,2021-01-25,
391,2021-01-26,
392,2021-01-27,
393,2021-01-28,
394,2021-01-29,
395,2021-01-30,
396,2021-01-31,
397,2021-02-01,
398,2021-02-02,
399,2021-02-03,
400,2021-02-04,
401,2021-02-05,
402,2021-02-06,
403,2021-02-07,
404,2021-02-08,
405,2021-02-09,
406,2021-02-10,
407,2021-02-11,
408,2021-02-12,
409,2021-02-13,
410,2021-02-14,
411,2021-02-15,
412,2021-02-16,
413,2021-02-17,
414,2021-02-18,
415,2021-02-19,
416,2021-02-20,
417,2021-02-21,
418,2021-02-22,
419,2021-02-23,
420,2021-02-24,
421,2021-02-25,
422,2021-02-26,
423,2021-02-27,
424,2021-02-28,
425,2021-03-01,
426,2021-03-02,
427,2021-03-03,
428,2021-03-04,
429,2021-03-05,
430,2021-03-06,
431,2021-03-07,
432,2021-03-08,
433,2021-03-09,
434,2021-03-10,
435,2021-03-11,
436,2021-03-12,
437,2021-03-13,
438,2021-03-14,
439,2021-03-15,
440,2021-03-16,
441,2021-03-17,
442,2021-03-18,
443,2021-03-19,
444,2021-03-20,
445,2021-03-21,
446,2021-03-22,
447,2021-03-23,
448,2021-03-24,
449,2021-03-25,
450,2021-03-26,
451,2021-03-27,
452,2021-03-28,
453,2021-03-29,
454,2021-03-30,
455,2021-03-31,
456,2021-04-01,
457,2021-04-02,
458,2021-04-03,
459,2021-04-04,
460,2021-04-05,
461,2021-04-06,
