date,avg_wind_speed,precipitation,avg_rel_humid,avg_temp
2020-01-01T00:00:00,7.1,0.0,0.49,4.3
2020-01-02T00:00:00,3.6,0.0,0.51,4.3
2020-01-03T00:00:00,2.1,3.6,0.79,8.1
2020-01-04T00:00:00,3.8,6.1,0.88,8.4
2020-01-05T00:00:00,9.0,0.0,0.51,4.6
2020-01-06T00:00:00,5.7,0.5,0.59,2.9
2020-01-07T00:00:00,3.9,0.0,0.53,5.1
2020-01-08T00:00:00,8.0,0.0,0.56,2.5
2020-01-09T00:00:00,4.9,0.0,0.41,-1.8
2020-01-10T00:00:00,4.2,0.0,0.69,4.5
2020-01-11T00:00:00,4.6,0.0,0.75,12.7
2020-01-12T00:00:00,7.3,1.5,0.57,15.7
2020-01-13T00:00:00,4.0,0.0,0.79,6.1
2020-01-14T00:00:00,3.0,1.8,0.84,5.1
2020-01-15T00:00:00,3.8,0.0,0.66,6.9
2020-01-16T00:00:00,9.4,3.0,0.64,7.2
2020-01-17T00:00:00,8.6,0.0,0.38,-1.5
2020-01-18T00:00:00,3.9,4.6,0.64,-4.7
2020-01-19T00:00:00,7.5,0.0,0.59,3.7
2020-01-20T00:00:00,7.7,0.0,0.43,-2.6
2020-01-21T00:00:00,4.1,0.0,0.46,-3.4
2020-01-22T00:00:00,1.5,0.0,0.5,-0.5
2020-01-23T00:00:00,1.9,0.0,0.46,3.3
2020-01-24T00:00:00,3.2,0.0,0.65,4.8
2020-01-25T00:00:00,6.7,19.8,0.87,5.2
2020-01-26T00:00:00,5.6,0.0,0.6,5.9
2020-01-27T00:00:00,6.1,0.0,0.59,4.7
2020-01-28T00:00:00,7.2,0.0,0.57,4.2
2020-01-29T00:00:00,5.4,0.0,0.46,2.3
2020-01-30T00:00:00,3.6,0.0,0.55,-0.7
2020-01-31T00:00:00,2.9,0.3,0.74,2.0
2020-02-01T00:00:00,2.1,0.3,0.87,3.8
2020-02-02T00:00:00,3.9,1.5,0.73,3.9
2020-02-03T00:00:00,3.9,0.0,0.59,6.7
2020-02-04T00:00:00,2.4,0.3,0.76,8.0
2020-02-05T00:00:00,4.6,0.0,0.58,6.9
2020-02-06T00:00:00,5.0,14.2,0.93,3.5
2020-02-07T00:00:00,8.1,7.4,0.76,4.7
2020-02-08T00:00:00,6.3,0.0,0.47,1.3
2020-02-09T00:00:00,4.7,0.0,0.72,1.6
2020-02-10T00:00:00,4.2,10.4,0.77,6.3
2020-02-11T00:00:00,3.9,6.6,0.85,6.6
2020-02-12T00:00:00,5.9,3.3,0.51,5.8
2020-02-13T00:00:00,3.7,9.9,0.84,4.1
2020-02-14T00:00:00,7.8,0.0,0.44,1.6
2020-02-15T00:00:00,4.3,0.0,0.48,-5.8
2020-02-16T00:00:00,2.9,0.0,0.58,1.2
2020-02-17T00:00:00,3.2,0.0,0.46,6.3
2020-02-18T00:00:00,4.4,0.0,0.77,4.8
2020-02-19T00:00:00,6.4,0.0,0.44,6.4
2020-02-20T00:00:00,6.0,0.0,0.4,0.7
2020-02-21T00:00:00,4.5,0.0,0.34,-2.1
2020-02-22T00:00:00,4.5,0.0,0.24,3.4
2020-02-23T00:00:00,3.5,0.0,0.28,8.1
2020-02-24T00:00:00,3.2,0.0,0.45,9.4
2020-02-25T00:00:00,3.0,3.3,0.77,9.5
2020-02-26T00:00:00,4.2,0.5,0.89,7.1
2020-02-27T00:00:00,10.2,11.4,0.53,6.0
2020-02-28T00:00:00,8.3,0.0,0.32,1.4
2020-02-29T00:00:00,7.3,0.0,0.38,0.9
2020-03-01T00:00:00,6.0,0.0,0.42,0.1
2020-03-02T00:00:00,4.6,0.0,0.51,7.4
2020-03-03T00:00:00,4.3,7.4,0.73,11.8
2020-03-04T00:00:00,8.2,0.0,0.43,10.8
2020-03-05T00:00:00,5.8,0.0,0.48,8.0
2020-03-06T00:00:00,5.6,3.6,0.75,5.8
2020-03-07T00:00:00,6.5,0.0,0.41,4.8
2020-03-08T00:00:00,4.5,0.0,0.27,7.1
2020-03-09T00:00:00,5.0,0.0,0.26,14.2
2020-03-10T00:00:00,5.9,0.0,0.49,16.1
2020-03-11T00:00:00,3.8,0.0,0.43,11.7
2020-03-12T00:00:00,4.1,0.5,0.75,7.7
2020-03-13T00:00:00,7.2,6.9,0.59,11.7
2020-03-14T00:00:00,6.4,0.0,0.35,10.5
2020-03-15T00:00:00,4.2,0.0,0.34,8.4
2020-03-16T00:00:00,6.2,0.0,0.5,4.6
2020-03-17T00:00:00,3.9,3.8,0.7,7.3
2020-03-18T00:00:00,4.3,0.0,0.45,9.3
2020-03-19T00:00:00,4.3,25.9,0.8,7.8
2020-03-20T00:00:00,4.9,0.0,0.67,12.6
2020-03-21T00:00:00,5.9,0.0,0.37,12.3
2020-03-22T00:00:00,6.0,0.0,0.41,4.3
2020-03-23T00:00:00,6.5,36.6,0.78,3.7
2020-03-24T00:00:00,4.6,0.0,0.61,6.2
2020-03-25T00:00:00,7.0,0.3,0.72,6.4
2020-03-26T00:00:00,3.8,0.0,0.57,7.6
2020-03-27T00:00:00,2.8,0.0,0.46,13.3
2020-03-28T00:00:00,5.0,10.7,0.75,9.5
2020-03-29T00:00:00,8.2,0.3,0.92,7.3
2020-03-30T00:00:00,3.4,1.8,0.8,7.6
2020-03-31T00:00:00,4.1,1.8,0.69,7.1
2020-04-01T00:00:00,5.6,0.0,0.49,7.3
2020-04-02T00:00:00,8.8,0.0,0.45,9.3
2020-04-03T00:00:00,8.3,2.0,0.67,9.9
2020-04-04T00:00:00,4.0,0.0,0.68,10.9
2020-04-05T00:00:00,2.8,0.0,0.71,11.1
2020-04-06T00:00:00,4.0,1.5,0.43,12.6
2020-04-07T00:00:00,4.0,0.0,0.39,14.4
2020-04-08T00:00:00,3.1,5.8,0.73,12.9
2020-04-09T00:00:00,6.6,6.6,0.62,11.2
2020-04-10T00:00:00,9.8,0.3,0.48,7.4
2020-04-11T00:00:00,6.1,0.0,0.32,8.0
2020-04-12T00:00:00,4.7,0.0,0.52,11.4
2020-04-13T00:00:00,8.5,43.7,0.78,13.8
2020-04-14T00:00:00,5.6,0.0,0.43,13.1
2020-04-15T00:00:00,5.6,0.0,0.35,9.2
2020-04-16T00:00:00,8.3,0.0,0.38,8.4
2020-04-17T00:00:00,4.9,1.3,0.46,6.4
2020-04-18T00:00:00,4.7,5.1,0.7,6.8
2020-04-19T00:00:00,5.5,0.0,0.38,10.1
2020-04-20T00:00:00,3.2,0.0,0.43,12.2
2020-04-21T00:00:00,6.9,8.4,0.62,11.1
2020-04-22T00:00:00,8.1,0.0,0.31,6.5
2020-04-23T00:00:00,3.5,3.3,0.42,7.4
2020-04-24T00:00:00,5.4,12.2,0.84,8.2
2020-04-25T00:00:00,2.6,0.0,0.56,11.3
2020-04-26T00:00:00,7.1,1.8,0.79,9.5
2020-04-27T00:00:00,6.4,0.0,0.69,7.2
2020-04-28T00:00:00,4.0,0.0,0.53,10.4
2020-04-29T00:00:00,5.6,0.3,0.74,10.6
2020-04-30T00:00:00,8.4,22.1,0.83,12.6
2020-05-01T00:00:00,4.1,5.6,0.77,14.6
2020-05-02T00:00:00,5.1,0.0,0.37,16.6
2020-05-03T00:00:00,4.4,0.8,0.5,19.7
2020-05-04T00:00:00,6.8,0.0,0.41,19.5
2020-05-05T00:00:00,4.7,0.0,0.33,12.1
2020-05-06T00:00:00,4.5,0.8,0.68,10.9
2020-05-07T00:00:00,4.8,0.0,0.35,12.6
2020-05-08T00:00:00,4.0,9.7,0.57,11.7
2020-05-09T00:00:00,9.6,0.8,0.44,5.7
2020-05-10T00:00:00,7.0,0.0,0.31,10.2
2020-05-11T00:00:00,5.7,2.5,0.59,13.2
2020-05-12T00:00:00,7.7,0.0,0.36,10.6
2020-05-13T00:00:00,4.6,0.0,0.4,11.3
2020-05-14T00:00:00,4.0,0.0,0.48,13.7
2020-05-15T00:00:00,5.1,1.0,0.55,21.3
2020-05-16T00:00:00,4.8,0.0,0.52,22.1
2020-05-17T00:00:00,4.2,0.0,0.56,16.3
2020-05-18T00:00:00,4.7,0.0,0.64,15.2
2020-05-19T00:00:00,7.4,0.0,0.41,15.8
2020-05-20T00:00:00,5.6,0.0,0.45,13.9
2020-05-21T00:00:00,3.2,0.0,0.64,13.1
2020-05-22T00:00:00,3.2,0.3,0.71,17.6
2020-05-23T00:00:00,4.7,8.4,0.82,17.3
2020-05-24T00:00:00,5.1,0.0,0.64,14.8
2020-05-25T00:00:00,4.2,0.3,0.8,15.8
2020-05-26T00:00:00,3.1,0.0,0.76,18.3
2020-05-27T00:00:00,3.6,0.0,0.78,19.2
2020-05-28T00:00:00,4.9,0.0,0.84,20.2
2020-05-29T00:00:00,4.7,0.3,0.76,22.0
2020-05-30T00:00:00,5.2,0.0,0.49,22.6
2020-05-31T00:00:00,7.0,0.0,0.36,19.7
2020-06-01T00:00:00,4.5,0.0,0.37,16.7
2020-06-02T00:00:00,3.7,0.0,0.35,20.2
2020-06-03T00:00:00,4.0,4.8,0.66,22.6
2020-06-04T00:00:00,3.2,3.6,0.56,25.1
2020-06-05T00:00:00,3.9,6.9,0.77,23.9
2020-06-06T00:00:00,4.0,2.8,0.55,25.2
2020-06-07T00:00:00,5.0,0.0,0.41,22.7
2020-06-08T00:00:00,3.1,0.0,0.39,21.9
2020-06-09T00:00:00,3.7,0.0,0.38,25.9
2020-06-10T00:00:00,5.6,0.0,0.65,25.3
2020-06-11T00:00:00,4.6,1.3,0.77,23.2
2020-06-12T00:00:00,3.9,0.0,0.41,25.5
2020-06-13T00:00:00,4.7,0.0,0.4,21.6
2020-06-14T00:00:00,3.9,0.0,0.45,18.3
2020-06-15T00:00:00,3.9,0.0,0.52,20.0
2020-06-16T00:00:00,3.7,0.0,0.48,21.0
2020-06-17T00:00:00,4.5,0.0,0.65,21.1
2020-06-18T00:00:00,3.5,0.0,0.78,21.2
2020-06-19T00:00:00,3.8,0.0,0.65,23.6
2020-06-20T00:00:00,3.1,0.0,0.6,25.7
2020-06-21T00:00:00,3.2,0.0,0.58,26.3
2020-06-22T00:00:00,3.5,0.0,0.54,27.8
2020-06-23T00:00:00,4.9,0.0,0.62,27.4
2020-06-24T00:00:00,5.0,0.0,0.46,26.9
2020-06-25T00:00:00,3.8,0.0,0.41,27.3
2020-06-26T00:00:00,4.0,0.0,0.4,26.6
2020-06-27T00:00:00,2.7,6.4,0.58,26.9
2020-06-28T00:00:00,2.5,0.5,0.62,27.7
2020-06-29T00:00:00,3.9,1.8,0.6,26.2
2020-06-30T00:00:00,3.3,0.0,0.67,23.4
